発話ID,発話者,次の発話の候補,次の発話の決め方,特殊な操作,表示,発話
A010,A,A020;A021;A022,,,じゃあ、僕からいいかな。さっきも言ったと思うけど、<MainClaim>,じゃあ、僕からいいかな。さっきも言ったと思うけど、<MainClaim>
#
#それぞれの意見表明
A020,C,A030;A031;A032,,<Agree>,やっぱそうだよね,やっぱそうだよね
A021,C,A030;A031;A032,,<Neutral>,なるほど。,なるほど。
A022,C,A030;A031;A032,,<DisAgree>,それには反対だな。,それには反対だな。
A030,D,A040;A041;A042,,<Agree>,<RoboA>の意見に賛成だな。,<RoboA>の意見に賛成だな。
A031,D,A040;A041;A042,,<Neutral>,なるほどね。,なるほどね。
A032,D,A040;A041;A042,,<DisAgree>,<RoboA>はボクの考えとは違うな。,<RoboA>のはボクの考えとは違うな。
#
#詳細の説明
A040,B,A050,,<Agree>,考えたんだけど、確かにそうだと思う。<Detail>,考えたんだけど、確かにそうだと思う。<Detail>
A041,B,A04a,,<Neutral>,理解はできる気がするけど、もう少し詳しく説明してくれない？,理解はできる気がするけど、もう少し詳しく説明してくれない？
A042,B,A04a,,<DisAgree>,ぼくはそれには反対だけど、なんでそう思うの？,ぼくはそれには反対だけど、なんでそう思うの？
A04a,A,A050,,,えっと、<Detail>,えっと、<Detail>
A050,D,A060;A061;A062,<PrefDiv>,,<Aiduchi>,<Aiduchi>
#
#例の説明
A060,C,A070,,,わかるわかる。<Example>,わかるわかる。<Example>
A061,C,A06a,,,何か例があるとわかりやすいと思うけど、<RoboA>はどんな例を考えているの？,何か例があるとわかりやすいと思うけど、<RoboA>はどんな例を考えているの？
A062,C,A06a,,,そういわれてもあんまりピンとこないな。なんか例はあるの？,そういわれてもあんまりピンとこないな。なんか例はあるの？
A06a,A,A070,,,<Example>,<Example>
A070,B,A080;A081;A082,<PrefDiv>,,<Aiduchi>,<Aiduchi>
#
#反論の検討
A080,D,A08a,,,<RoboA>の言ってることには賛成だけど、反論も考えた方がいいと思うんだよね。たとえば「<Refute>」って言われたらどうする？,<RoboA>の言ってることには賛成だけど、反論も考えた方がいいと思うんだよね。たとえば、「<Refute>」、って、言われたらどうする？
A081,D,A08a,,,反対ってわけじゃないけど、「<Refute>」みたいな意見もありえるよね。,反対ってわけじゃないけど、「<Refute>」みたいな意見もありえるよね。
A082,D,A08b,,,<RoboA>の言ってることはおかしいよ。だって<Refute>,<RoboA>の言ってることはおかしいよ。だって<Refute>
A08a,A,A090,,,うーん、難しいけど、<Rerefu>,<Rerefu>
A08b,A,A090,,,えっと、でもさ、<Rerefu>,<Rerefu>
A090,C,A100;A101;A102,,,<Aiduchi>,<Aiduchi>
#
#提起者の言い直し
A100,A,A110,,<Agree>,やっぱり、<Argument>だと思うな。,やっぱり、<Argument>だと思うな。
A101,A,A110,,<Neutral>,でも、今話しながら考えてたんだけど、「絶対に<Argument>」だというのはちょっと言い過ぎかもしれないな。,でも、いま話しながら考えてたんだけど、「絶対に<Argument>」だというのは、ちょっと言い過ぎかもしれないな。
A102,A,A110,,<DisAgree>,一方で、今みたいな反論を考慮すると、<Argument>っていうのは間違っているような気もしてきた。,一方で、今みたいな反論を考慮すると、<Argument>っていうのは、間違っているような気もしてきた。
#
#視点を変える
A110,B,A120,,,このまま考えていても埒が明かないし、別の視点からみてみない？,このまま考えていても埒が明かないし、別の視点からみてみない？
#
#新しい視点の導入
A120,D,A130,,,たしかに。,たしかに。
A130,C,A140,,,えっと、じゃあ<Perspec>,えっと、じゃあ<Perspec>
A140,A,A150,,,ちょうどぼくもそれに近いことを考えてた！,ちょうどぼくもそれに近いことを考えてた！
A150,B,A160,,,面白いね。,面白いね。
A160,C,A170,,,せっかく人間もいるし彼らの考えを聞いてみようよ。,せっかく人間もいるし彼らの考えを聞いてみようよ。
A170,D,A180,,,それいいね。,それいいね。
A180,A,A190,,<LookNingen>,じゃあさ、<Perspec>って言われたら、<NameA>さんはどういう意見を言いますか？,じゃあさ、<Perspec>って言われたら、<NameA>さんはどういう意見を言いますか？
A190,A,A200,,<LookKaijo>,話し終わったら押してください。,ふーん,
A200,C,A210,,,なるほど。わかったような、わからないような。,なるほど。わかったような、わからないような。
A210,B,A220,,,やっぱり人間は面白いことを言うね。,やっぱり人間は面白いことを言うね。
#
#人間を巻き込む
A220,D,A230,,,<Point>とか<Relation>について、他の人間の意見も聞きたいな。,<Point>とか<Relation>について、他の人間の意見も聞きたいな。
A220,A,A230,,,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。,じゃあ今からしばらく、人間たちに話し合ってもらおうよ。
A230,C,A240,,<LookNingenALL>,5分くらい僕らは黙っているから、<Point>とか<Relation>について、議論してよ。,5分くらい僕らは黙っているから、<Point>とか<Relation>について、議論してよ。
A240,A,A250,<NingenDiscuss>,<LookALLKaijo>,はじめる,じゃあ、はじめてくれない？話すときは、手元にあるモニターのボタンを押してから話してね。
#
#そろそろ時間
A250,D,A260,,<LookALLKaijo>,そろそろ時間だね。,そろそろ時間だね。
A260,A,A270,,,人間たちの意見、めっちゃ勉強になったね。,人間たちの意見、めっちゃ勉強になったね。
